ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111        
Frame 0798    0001 ac99000000000108  0001 ac99000000011795  0001 ac9900000000fb40  0001 ac99000000008fdc  0001 ac990000000008e7  0001 ac990000000022db  0001 ac99000000000108  0001 ac99000000122c81  0001 ac990000003dbe18  0001 ac99000000e33c47  0001 ac99000001224247  0001 ac990000dfa8a10e  0001 ac990005cbd6c3fd  0001 ac99000978e0ea95  0001 ac990003fff7fe04  0001 ac99000000000000  0001 ac99000000000001  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012
Frame 0799    0001 acb9400000000005  0001 acb94000000001d0  0001 acb94000000001d0  0001 acb940000000004e  0001 acb9400000000000  0001 acb9400000000037  0001 acb9400000000005  0001 acb94000000002e7  0001 acb9400000008dad  0001 acb940000002e5a4  0001 acb9400000042329  0001 acb94000017ae92d  0001 acb9400027108f70  0001 acb940004fae225d  0001 acb9400006e00000  0001 acb9400000000000  0001 acb9400000000001  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015
Frame 0800    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0801    0001 acd98000000000bc  0001 acd980000000cfd9  0001 acd9800000009413  0001 acd9800000004471  0001 acd9800000001475  0001 acd98000000019bb  0001 acd98000000000bc  0001 acd980000008e6fd  0001 acd98000004ee028  0001 acd9800000728c19  0001 acd9800001695ace  0001 acd98001d061bf54  0001 acd98001febdd5cd  0001 acd98013ddf318e2  0001 acd98003fff7f41c  0001 acd9800000000000  0001 acd9800000000001  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b
Frame 0802    0001 acf9c0000000006a  0001 acf9c0000000546d  0001 acf9c000000036ad  0001 acf9c00000001954  0001 acf9c00000000e68  0001 acf9c00000000a6d  0001 acf9c0000000006a  0001 acf9c00000021a83  0001 acf9c000001ebc5a  0001 acf9c000003336b2  0001 acf9c00000a79b03  0001 acf9c0009ff26ce8  0001 acf9c000fbbd4184  0001 acf9c00a89a61221  0001 acf9c003fff63c00  0001 acf9c00000000000  0001 acf9c00000000001  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e
Frame 0803    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0804    0001 ad1a000000000049  0001 ad1a00000000310a  0001 ad1a000000002727  0001 ad1a0000000017d0  0001 ad1a0000000000a9  0001 ad1a00000000060a  0001 ad1a000000000049  0001 ad1a000000012792  0001 ad1a0000000e9f49  0001 ad1a000000085b24  0001 ad1a00000050141e  0001 ad1a000043bc2c19  0001 ad1a00000bd7e788  0001 ad1a000427729598  0001 ad1a0003fff17000  0001 ad1a000000000000  0001 ad1a000000000001  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024
Frame 0805    0001 ad3a400000000091  0001 ad3a400000012b6c  0001 ad3a400000011664  0001 ad3a40000000c5d1  0001 ad3a400000001407  0001 ad3a400000002571  0001 ad3a400000000091  0001 ad3a40000036f871  0001 ad3a4000003bac59  0001 ad3a400001300163  0001 ad3a40000360898b  0001 ad3a40007f1a1d4b  0001 ad3a4009a491f9f9  0001 ad3a404dfe8cab83  0001 ad3a4003fff70000  0001 ad3a400000000000  0001 ad3a400000000001  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027
Frame 0806    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0807    0001 ad5a80000000005f  0001 ad5a8000000050d1  0001 ad5a800000004970  0001 ad5a800000002f26  0001 ad5a80000000040f  0001 ad5a800000000a11  0001 ad5a80000000005f  0001 ad5a800000037329  0001 ad5a8000000e8ef5  0001 ad5a8000005451f1  0001 ad5a800000546b33  0001 ad5a80003b0c020f  0001 ad5a8002c2abc183  0001 ad5a8002c5589cff  0001 ad5a8003fff08040  0001 ad5a800000000000  0001 ad5a800000000001  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d
Frame 0808    0001 ad7ac00000000137  0001 ad7ac00000017bd3  0001 ad7ac00000010729  0001 ad7ac00000007512  0001 ad7ac0000000295c  0001 ad7ac00000002f17  0001 ad7ac00000000137  0001 ad7ac00000141b1f  0001 ad7ac00000a7b75e  0001 ad7ac000019039ee  0001 ad7ac00001cf2dda  0001 ad7ac004c389270e  0001 ad7ac00d4b3c8de0  0001 ad7ac011d38cea14  0001 ad7ac003fff7fefc  0001 ad7ac00000000000  0001 ad7ac00000000001  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000
